[2023-05-12 10:29:23:0034] | GigEVisionManager.cpp-L0898: disconnect device ...
[2023-05-12 10:29:23:0034] | GigEVisionManager.cpp-L2707: SendRsdCmd thread stop
[2023-05-12 10:29:23:0046] | GigEVisionManager.cpp-L2308: AppGetCount[482], AppGetCountSucceed[479], ExpectRecv[479], NetRecv[479], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2023-05-12 10:29:23:0062] | GigEVisionManager.cpp-L2840: event thread stop
[2023-05-12 10:29:23:0541] |   GigEVisionGVSP.cpp-L0417: [socket] NearBID[0], LastBID[0], output[0]
[2023-05-12 13:24:26:0422] | GigEVisionManager.cpp-L0272: driver mode start!
[2023-05-12 13:24:26:0422] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2023-05-12 13:24:26:0422] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fec2ce]
[2023-05-12 13:24:26:0423] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fec2ce]
[2023-05-12 13:24:26:0423] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[a9fec2ce], hostPort[64224], devIP[a9fe4140]
[2023-05-12 13:24:26:0424] | GigEVisionManager.cpp-L0572: m_nUpNetExport[a9fec2ce], m_nUpDevIP[a9fe4140]
[2023-05-12 13:24:26:0424] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fec2ce]
[2023-05-12 13:24:26:0427] | GigEVisionManager.cpp-L2769: event thread start...
[2023-05-12 13:24:26:0958] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fec2ce]
[2023-05-12 13:24:27:0250] | GigEVisionManager.cpp-L1152: GetCurCompressMode Execute Fails Node is not readable. : AccessException thrown in node 'ImageCompressionMode' while calling 'ImageCompressionMode.GetIntValue()' (file 'EnumerationT.h', line 131)
[2023-05-12 13:24:27:0254] | GigEVisionManager.cpp-L2661: GigE SendRsdCmdThread Start, ThreadId[15304]
[2023-05-12 13:25:21:0189] | GigEVisionManager.cpp-L2308: AppGetCount[1008], AppGetCountSucceed[1005], ExpectRecv[1005], NetRecv[1005], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2023-05-12 13:25:21:0303] | GigEVisionManager.cpp-L2308: AppGetCount[1008], AppGetCountSucceed[1005], ExpectRecv[1005], NetRecv[1005], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2023-05-12 13:25:21:0303] | GigEVisionManager.cpp-L0898: disconnect device ...
[2023-05-12 13:25:21:0316] | GigEVisionManager.cpp-L2308: AppGetCount[1008], AppGetCountSucceed[1005], ExpectRecv[1005], NetRecv[1005], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2023-05-12 13:25:21:0316] | GigEVisionManager.cpp-L2707: SendRsdCmd thread stop
[2023-05-12 13:25:21:0367] | GigEVisionManager.cpp-L2840: event thread stop
[2023-05-12 13:25:22:0350] |   GigEVisionGVSP.cpp-L0417: [socket] NearBID[0], LastBID[0], output[0]
[2023-05-12 13:25:54:0780] | GigEVisionManager.cpp-L0272: driver mode start!
[2023-05-12 13:25:54:0780] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2023-05-12 13:25:54:0780] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fec2ce]
[2023-05-12 13:25:54:0780] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fec2ce]
[2023-05-12 13:25:54:0781] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[a9fec2ce], hostPort[64237], devIP[a9fe4140]
[2023-05-12 13:25:54:0782] | GigEVisionManager.cpp-L0572: m_nUpNetExport[a9fec2ce], m_nUpDevIP[a9fe4140]
[2023-05-12 13:25:54:0782] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fec2ce]
[2023-05-12 13:25:54:0784] | GigEVisionManager.cpp-L2769: event thread start...
[2023-05-12 13:25:55:0311] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fec2ce]
[2023-05-12 13:25:55:0624] | GigEVisionManager.cpp-L1152: GetCurCompressMode Execute Fails Node is not readable. : AccessException thrown in node 'ImageCompressionMode' while calling 'ImageCompressionMode.GetIntValue()' (file 'EnumerationT.h', line 131)
[2023-05-12 13:25:55:0628] | GigEVisionManager.cpp-L2661: GigE SendRsdCmdThread Start, ThreadId[1092]
[2023-05-12 13:27:05:0212] |           NetUDP.cpp-L0708: sendto errror! [10055], preSend[12], actually send[-1]
[2023-05-12 13:27:05:0212] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe4140], Port[3956], return[-1]!
